id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
25934,21.0,3.0,1.0,3.0,57.0,276.9,0.11,9.43,30.29,2621.03,0.09,145.61,9,3,5,0,11.0,14.0,33.0,24.0,5.0,True
25935,22.0,3.0,1.0,1.0,52.0,222.97,0.1,10.0,22.3,2229.72,0.07,123.87,12,0,3,0,11.0,11.0,30.0,20.0,5.0,False
25936,28.0,4.0,1.0,1.0,63.0,281.11,0.05,21.0,11.31,5246.31,0.09,291.46,17,3,6,0,16.0,8.0,35.0,28.0,7.0,False
25937,33.0,6.0,4.0,4.0,89.0,463.01,0.11,9.26,47.22,5254.23,0.15,291.9,26,0,4,0,13.0,27.0,52.0,41.0,11.0,False
25938,23.0,2.0,1.0,2.0,50.0,229.25,0.14,7.2,31.95,1679.66,0.08,93.31,18,0,3,0,9.0,15.0,29.0,24.0,3.0,False
25939,28.0,6.0,4.0,6.0,108.0,549.45,0.07,14.0,40.73,7547.57,0.18,419.31,17,0,3,0,14.0,21.0,66.0,42.0,11.0,False
25940,14.0,2.0,1.0,2.0,26.0,108.42,0.14,7.14,15.49,700.71,0.04,38.93,10,0,2,0,10.0,7.0,18.0,8.0,3.0,False
25941,63.0,18.0,14.0,1.0,204.0,1166.65,0.02,42.0,30.59,77280.98,0.39,4293.39,50,3,7,0,28.0,24.0,142.0,86.0,35.0,False
25942,20.0,4.0,1.0,3.0,27.0,112.59,0.23,4.4,25.59,495.39,0.04,27.52,10,1,1,0,8.0,10.0,18.0,11.0,7.0,False
25943,14.0,1.0,1.0,1.0,39.0,165.67,0.17,5.78,30.37,921.04,0.06,51.17,8,0,4,0,8.0,13.0,21.0,18.0,1.0,True
25944,11.0,3.0,1.0,2.0,56.0,249.73,0.08,13.33,18.03,3204.9,0.08,178.05,8,0,1,0,14.0,12.0,36.0,20.0,5.0,False
25945,8.0,2.0,1.0,2.0,25.0,102.19,0.26,3.85,26.54,393.42,0.03,21.86,5,0,1,0,7.0,10.0,14.0,11.0,3.0,False
25946,4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,9.0,54.0,0.01,3.0,2,0,0,0,4.0,3.0,5.0,3.0,1.0,False
25947,16.0,2.0,1.0,2.0,31.0,121.11,0.11,9.43,12.83,1131.58,0.04,62.95,11,0,3,0,11.0,7.0,19.0,12.0,3.0,False
25948,36.0,4.0,1.0,4.0,142.0,765.0,0.06,16.07,46.39,11792.37,0.26,655.13,35,0,1,0,17.0,29.0,91.0,51.0,7.0,False
25949,75.0,6.0,1.0,1.0,189.0,1025.56,0.02,47.0,21.8,48932.72,0.34,2718.48,41,16,9,0,25.0,18.0,148.0,65.0,11.0,False
25950,7.0,2.0,1.0,1.0,21.0,79.95,0.22,4.5,20.54,393.73,0.03,21.87,4,0,1,0,9.0,9.0,12.0,9.0,3.0,False
25951,25.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,True
25952,97.0,9.0,1.0,8.0,359.0,2113.88,0.03,29.97,66.7,62562.83,0.7,3477.05,77,7,6,0,20.0,43.0,214.0,147.0,17.0,False
25953,62.0,6.0,1.0,3.0,235.0,1399.09,0.04,23.5,55.62,23802.06,0.43,1322.34,52,0,8,0,21.0,40.0,145.0,85.0,11.0,True
25954,18.0,3.0,1.0,2.0,34.0,144.43,0.14,7.2,20.44,1396.71,0.05,77.6,14,0,2,0,12.0,10.0,20.0,14.0,5.0,False
25955,23.0,1.0,1.0,1.0,85.0,393.46,0.16,6.14,61.64,2928.38,0.13,162.69,18,0,3,0,9.0,20.0,44.0,41.0,1.0,False
25956,111.0,16.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,31.0,True
25957,5.0,1.0,1.0,1.0,12.0,55.35,0.34,2.92,18.98,161.44,0.02,8.97,3,0,0,0,5.0,6.0,8.0,7.0,1.0,False
25958,4.0,1.0,1.0,1.0,11.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,0,5.0,4.0,6.0,4.0,1.0,False
25959,9.0,1.0,1.0,1.0,27.0,103.96,0.21,4.38,20.72,501.89,0.03,27.88,6,0,1,0,7.0,8.0,17.0,10.0,1.0,False
25960,7.0,2.0,1.0,2.0,15.0,55.51,0.19,5.25,9.88,272.43,0.02,15.14,5,0,0,0,7.0,4.0,9.0,6.0,3.0,False
25961,6.0,1.0,1.0,1.0,17.0,66.42,0.33,3.0,21.6,175.66,0.02,9.76,3,0,0,0,6.0,7.0,9.0,7.0,1.0,False
25962,22.0,4.0,1.0,2.0,48.0,220.08,0.13,7.46,27.47,1846.2,0.07,102.57,16,0,4,0,11.0,14.0,27.0,21.0,7.0,False
25963,65.0,20.0,15.0,7.0,268.0,1520.21,0.02,47.69,31.92,86030.58,0.51,4779.48,43,4,11,5,26.0,24.0,151.0,117.0,39.0,False
25964,45.0,6.0,1.0,5.0,100.0,524.62,0.07,15.0,33.47,7580.07,0.17,421.88,34,0,9,0,15.0,20.0,58.0,40.0,11.0,False
25965,15.0,4.0,3.0,2.0,23.0,88.0,0.15,6.5,13.33,513.33,0.03,28.52,10,0,3,0,10.0,6.0,12.0,11.0,7.0,False
25966,27.0,6.0,1.0,4.0,112.0,573.04,0.06,17.6,30.84,10212.5,0.19,567.36,23,0,2,1,16.0,21.0,64.0,48.0,11.0,False
25967,8.0,1.0,1.0,1.0,15.0,55.51,0.19,5.25,11.1,277.53,0.02,15.42,5,0,1,0,7.0,4.0,11.0,6.0,1.0,False
25968,72.0,16.0,16.0,16.0,210.0,1146.48,0.05,21.43,52.26,25007.13,0.38,1389.29,61,0,9,0,22.0,37.0,118.0,72.0,31.0,True
25969,22.0,3.0,1.0,2.0,41.0,177.2,0.15,6.75,26.7,1494.55,0.06,83.03,18,0,2,0,9.0,10.0,26.0,15.0,5.0,False
25970,18.0,8.0,6.0,7.0,125.0,724.11,0.06,17.82,41.78,13265.09,0.24,736.95,15,0,1,0,14.0,24.0,77.0,56.0,15.0,False
25971,81.0,4.0,1.0,3.0,227.0,1334.86,0.05,18.21,77.19,32097.36,0.44,1783.19,49,14,17,4,16.0,44.0,122.0,101.0,7.0,True
25972,4.0,1.0,1.0,1.0,15.0,51.89,0.25,4.0,11.86,227.03,0.02,12.61,2,0,0,0,7.0,3.0,10.0,3.0,1.0,False
25973,9.0,3.0,3.0,2.0,34.0,146.95,0.12,8.33,16.91,1295.46,0.05,71.97,6,0,1,0,10.0,9.0,19.0,15.0,5.0,False
25974,19.0,5.0,3.0,4.0,70.0,340.06,0.06,16.62,19.01,5620.23,0.11,312.23,15,0,2,0,16.0,13.0,43.0,27.0,9.0,True
25975,19.0,1.0,1.0,1.0,40.0,183.4,0.12,8.8,22.95,1467.19,0.06,81.51,9,0,4,0,11.0,10.0,24.0,16.0,1.0,False
25976,16.0,2.0,1.0,2.0,37.0,154.29,0.24,4.2,38.47,637.44,0.05,35.52,14,0,1,0,6.0,14.0,21.0,16.0,3.0,True
25977,15.0,3.0,1.0,3.0,41.0,187.98,0.1,10.67,17.05,1733.5,0.06,96.31,10,0,3,0,14.0,12.0,25.0,16.0,5.0,False
25978,16.0,3.0,1.0,3.0,55.0,237.71,0.12,8.33,29.75,1770.16,0.08,99.52,13,0,1,0,10.0,15.0,32.0,25.0,5.0,False
25979,24.0,4.0,4.0,2.0,48.0,220.08,0.12,8.27,26.41,2350.22,0.07,130.57,18,0,4,0,12.0,11.0,30.0,16.0,7.0,False
25980,11.0,1.0,1.0,1.0,21.0,66.61,0.28,3.6,19.03,233.13,0.02,12.95,9,0,0,0,6.0,5.0,12.0,9.0,1.0,False
25981,7.0,1.0,1.0,1.0,11.0,33.0,0.4,2.5,9.6,82.5,0.02,4.58,6,0,0,0,5.0,4.0,6.0,5.0,1.0,False
25982,26.0,4.0,1.0,4.0,31.0,133.98,0.17,5.45,29.53,925.11,0.04,51.39,15,3,4,0,8.0,11.0,23.0,12.0,7.0,False
25983,48.0,14.0,14.0,4.0,110.0,504.35,0.04,24.81,23.8,11128.26,0.17,618.24,34,0,8,0,19.0,14.0,68.0,36.0,27.0,False
25984,12.0,2.0,1.0,2.0,29.0,116.0,0.17,5.79,20.05,671.14,0.04,37.29,7,0,0,0,9.0,7.0,16.0,13.0,3.0,True
25985,62.0,8.0,5.0,3.0,167.0,947.3,0.03,33.38,29.95,29966.68,0.32,1664.82,39,12,7,0,23.0,24.0,103.0,61.0,12.0,True
25986,24.0,4.0,1.0,4.0,77.0,357.58,0.05,19.73,17.59,7054.02,0.12,391.89,14,0,7,0,14.0,11.0,45.0,32.0,7.0,True
25987,91.0,4.0,1.0,4.0,342.0,1808.14,0.03,36.63,55.5,64740.1,0.6,3596.67,45,12,14,14,15.0,41.0,182.0,154.0,7.0,False
25988,5.0,1.0,1.0,1.0,15.0,55.51,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,7.0,6.0,9.0,6.0,1.0,False
25989,102.0,22.0,16.0,8.0,304.0,1624.63,0.03,32.04,54.15,58423.84,0.54,3245.77,71,10,13,5,27.0,43.0,166.0,118.0,43.0,True
25990,32.0,4.0,1.0,3.0,111.0,569.35,0.09,11.69,50.2,6369.62,0.19,353.87,21,4,7,0,11.0,24.0,58.0,51.0,7.0,False
25991,11.0,2.0,1.0,2.0,18.0,66.61,0.21,4.8,12.33,319.72,0.02,17.76,5,1,2,0,6.0,5.0,10.0,8.0,3.0,True
25992,16.0,2.0,1.0,2.0,50.0,197.17,0.11,9.0,20.44,1976.54,0.07,109.81,12,1,3,0,9.0,9.0,27.0,23.0,3.0,False
25993,32.0,6.0,1.0,4.0,101.0,509.48,0.06,17.68,29.76,9080.81,0.17,504.49,24,0,6,0,14.0,19.0,59.0,42.0,11.0,False
25994,14.0,3.0,1.0,2.0,34.0,138.97,0.1,9.64,14.97,1427.3,0.05,79.29,11,0,1,0,12.0,7.0,21.0,13.0,5.0,False
25995,60.0,6.0,3.0,5.0,156.0,871.25,0.05,21.71,41.32,17770.86,0.29,987.18,37,10,9,3,20.0,28.0,99.0,58.0,11.0,False
25996,32.0,4.0,1.0,4.0,53.0,246.12,0.12,8.33,29.53,2051.04,0.08,113.95,15,0,6,0,10.0,15.0,28.0,27.0,7.0,False
25997,30.0,5.0,5.0,3.0,74.0,373.29,0.07,14.44,25.61,5856.37,0.12,325.35,24,0,4,0,18.0,16.0,40.0,26.0,9.0,False
25998,45.0,4.0,1.0,3.0,127.0,664.51,0.08,12.25,57.78,7641.91,0.22,424.55,35,1,8,1,16.0,32.0,75.0,52.0,7.0,False
25999,14.0,1.0,1.0,1.0,82.0,352.3,0.09,11.61,35.03,5629.47,0.12,312.75,11,0,1,0,11.0,13.0,46.0,36.0,1.0,False
26000,25.0,3.0,1.0,2.0,44.0,193.26,0.09,11.0,17.15,2115.2,0.06,117.51,13,4,3,1,12.0,9.0,26.0,18.0,5.0,True
26001,12.0,2.0,1.0,2.0,24.0,100.08,0.16,6.75,17.79,650.51,0.03,36.14,9,0,1,0,7.0,8.0,15.0,9.0,3.0,False
26002,15.0,2.0,1.0,2.0,33.0,134.89,0.23,4.36,30.18,574.63,0.04,31.92,11,0,1,0,8.0,11.0,21.0,12.0,3.0,False
26003,12.0,2.0,1.0,2.0,35.0,151.27,0.11,8.75,16.1,1261.4,0.05,70.08,8,0,2,0,10.0,8.0,21.0,15.0,3.0,False
26004,19.0,3.0,1.0,2.0,48.0,196.2,0.09,11.38,15.32,1986.51,0.07,110.36,14,0,3,0,13.0,8.0,28.0,20.0,5.0,False
26005,102.0,17.0,15.0,8.0,262.0,1521.37,0.03,38.0,40.53,64109.15,0.51,3561.62,62,9,19,0,26.0,38.0,150.0,112.0,33.0,True
26006,7.0,2.0,1.0,2.0,13.0,39.0,0.3,3.33,11.7,130.0,0.01,7.22,5,0,0,0,5.0,3.0,9.0,4.0,3.0,False
26007,12.0,4.0,3.0,1.0,42.0,171.67,0.14,7.0,26.76,1401.82,0.06,77.88,10,0,0,0,9.0,12.0,24.0,16.0,7.0,False
26008,18.0,1.0,1.0,1.0,38.0,171.9,0.14,7.2,23.01,1220.55,0.06,67.81,12,0,4,0,9.0,10.0,22.0,16.0,1.0,False
26009,38.0,6.0,3.0,6.0,126.0,646.24,0.05,21.0,32.03,11496.15,0.22,638.34,32,0,4,0,16.0,19.0,75.0,51.0,11.0,False
26010,16.0,1.0,1.0,1.0,37.0,151.24,0.24,4.13,41.97,742.43,0.05,41.25,7,0,6,0,6.0,13.0,21.0,16.0,1.0,False
26011,19.0,2.0,1.0,2.0,46.0,208.08,0.18,5.63,37.15,1175.48,0.07,65.3,7,0,2,0,9.0,16.0,27.0,20.0,3.0,False
26012,47.0,3.0,1.0,2.0,119.0,653.44,0.07,15.0,40.54,11771.7,0.22,653.98,33,3,7,0,13.0,27.0,69.0,60.0,5.0,True
26013,55.0,13.0,10.0,9.0,138.0,718.97,0.04,22.26,30.07,16005.55,0.24,889.2,31,12,8,0,18.0,21.0,83.0,55.0,25.0,True
26014,16.0,2.0,1.0,2.0,29.0,116.0,0.14,7.22,13.88,969.43,0.04,53.86,13,0,1,0,10.0,9.0,16.0,13.0,3.0,False
26015,27.0,5.0,1.0,4.0,77.0,382.57,0.09,11.05,33.37,4526.5,0.13,251.47,21,1,1,0,14.0,19.0,46.0,31.0,7.0,False
26016,70.0,12.0,5.0,8.0,216.0,1157.23,0.03,38.0,30.45,43974.79,0.39,2443.04,54,0,7,0,19.0,22.0,127.0,95.0,23.0,False
26017,32.0,6.0,1.0,3.0,87.0,442.61,0.07,13.46,32.93,6884.13,0.15,382.45,25,0,4,0,15.0,19.0,54.0,33.0,11.0,False
26018,65.0,11.0,9.0,5.0,174.0,933.65,0.03,44.0,24.33,32273.45,0.32,1792.97,41,36,9,0,22.0,19.0,113.0,71.0,21.0,False
26019,20.0,2.0,1.0,2.0,59.0,263.11,0.1,10.5,26.41,2700.04,0.09,150.0,13,0,3,0,11.0,11.0,38.0,21.0,3.0,False
26020,43.0,12.0,10.0,6.0,172.0,970.74,0.04,25.5,41.74,26919.86,0.32,1496.54,41,0,2,0,22.0,30.0,98.0,70.0,23.0,False
26021,14.0,3.0,1.0,3.0,34.0,134.89,0.12,8.33,17.64,1355.67,0.04,75.31,10,0,0,0,10.0,6.0,24.0,10.0,5.0,False
26022,11.0,2.0,1.0,2.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,9,0,0,0,6.0,5.0,8.0,5.0,3.0,False
26023,12.0,2.0,1.0,2.0,19.0,70.31,0.2,5.0,13.71,329.04,0.02,18.28,10,0,0,0,10.0,6.0,11.0,6.0,3.0,False
26024,1129.0,286.0,44.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,503.0,True
26025,5.0,1.0,1.0,1.0,15.0,49.83,0.33,3.0,16.61,149.49,0.02,8.3,3,0,0,0,6.0,6.0,9.0,6.0,1.0,False
26026,24.0,4.0,1.0,4.0,61.0,294.03,0.08,13.2,22.11,4519.05,0.1,251.06,16,2,3,0,14.0,15.0,33.0,28.0,7.0,False
26027,16.0,3.0,3.0,2.0,51.0,227.43,0.09,10.83,22.48,2538.24,0.08,141.01,12,0,2,0,15.0,12.0,30.0,21.0,5.0,False
26028,24.0,1.0,1.0,1.0,64.0,322.84,0.13,7.82,40.04,2514.31,0.11,139.68,16,0,4,0,11.0,19.0,42.0,22.0,1.0,False
26029,9.0,2.0,1.0,1.0,49.0,204.33,0.16,6.22,32.87,1357.61,0.07,75.42,7,0,0,0,8.0,12.0,26.0,23.0,3.0,False
26030,18.0,3.0,1.0,3.0,38.0,166.91,0.14,7.2,20.39,1135.71,0.06,63.09,13,0,2,0,12.0,10.0,26.0,12.0,5.0,True
26031,8.0,2.0,1.0,2.0,30.0,125.1,0.15,6.75,17.13,875.19,0.04,48.62,5,0,1,0,9.0,8.0,18.0,12.0,3.0,False
26032,29.0,2.0,1.0,2.0,71.0,355.0,0.08,13.27,27.07,4723.0,0.12,262.39,21,0,6,0,12.0,13.0,48.0,23.0,3.0,False
26033,34.0,3.0,1.0,3.0,150.0,792.81,0.05,19.5,38.87,14257.41,0.26,792.81,29,0,5,0,15.0,23.0,87.0,63.0,5.0,False
26034,54.0,5.0,1.0,3.0,187.0,1038.47,0.03,29.62,39.57,31061.04,0.35,1724.11,42,1,6,0,22.0,29.0,112.0,81.0,9.0,False
26035,188.0,25.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,49.0,True
26036,31.0,4.0,1.0,2.0,131.0,710.84,0.05,22.94,28.28,13780.28,0.24,765.57,25,0,5,0,17.0,18.0,78.0,54.0,7.0,True
26037,7.0,2.0,1.0,2.0,34.0,144.43,0.14,7.22,19.94,1043.09,0.05,57.95,4,0,1,1,8.0,9.0,21.0,13.0,3.0,False
26038,58.0,7.0,1.0,7.0,182.0,1047.39,0.04,23.63,43.96,24952.52,0.35,1386.25,47,2,5,0,20.0,32.0,101.0,81.0,13.0,True
26039,41.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,False
26040,19.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
26041,15.0,4.0,1.0,2.0,28.0,112.0,0.12,8.33,13.44,933.33,0.04,51.85,6,6,1,0,10.0,7.0,18.0,10.0,7.0,False
26042,23.0,9.0,7.0,2.0,62.0,304.23,0.11,9.0,31.01,2607.88,0.1,144.88,20,0,1,0,12.0,16.0,36.0,26.0,11.0,False
26043,20.0,2.0,1.0,1.0,37.0,151.24,0.14,7.2,21.27,1075.46,0.05,59.75,12,0,4,0,8.0,10.0,21.0,16.0,3.0,False
26044,7.0,1.0,1.0,1.0,25.0,102.19,0.17,6.0,16.71,393.42,0.03,21.86,4,0,1,0,8.0,6.0,14.0,10.0,1.0,False
26045,12.0,1.0,1.0,1.0,24.0,100.08,0.21,4.81,22.07,502.57,0.03,27.92,8,0,2,0,7.0,8.0,15.0,11.0,1.0,False
26046,126.0,17.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,33.0,True
26047,22.0,10.0,1.0,2.0,118.0,625.13,0.06,16.92,34.92,10781.07,0.21,597.26,19,1,1,0,15.0,18.0,74.0,42.0,19.0,False
26048,10.0,1.0,1.0,1.0,24.0,93.77,0.23,4.29,21.58,420.54,0.03,23.36,7,0,1,0,6.0,7.0,14.0,10.0,1.0,False
26049,14.0,3.0,3.0,2.0,49.0,208.15,0.12,8.64,23.39,1665.19,0.07,92.51,10,0,2,0,10.0,11.0,27.0,22.0,5.0,False
26050,176.0,39.0,35.0,34.0,718.0,5885.41,0.02,54.08,90.79,386033.0,1.96,21491.06,139,12,13,0,28.0,78.0,441.0,342.0,77.0,False
26051,7.0,2.0,1.0,1.0,21.0,85.95,0.19,5.25,17.76,466.67,0.03,25.93,5,0,0,0,9.0,6.0,14.0,7.0,3.0,False
26052,15.0,1.0,1.0,1.0,43.0,185.84,0.17,5.83,31.23,1142.73,0.06,63.48,11,0,2,0,7.0,12.0,24.0,19.0,1.0,False
26053,9.0,2.0,1.0,2.0,33.0,157.89,0.18,5.5,26.06,828.9,0.05,46.05,6,0,1,0,11.0,11.0,22.0,11.0,3.0,False
26054,10.0,1.0,1.0,1.0,27.0,112.59,0.15,6.89,16.01,703.67,0.04,39.09,6,0,2,0,8.0,6.0,17.0,10.0,1.0,False
26055,5.0,1.0,1.0,1.0,13.0,41.21,0.29,3.5,11.86,145.3,0.01,8.07,3,0,0,0,7.0,4.0,8.0,5.0,1.0,False
26056,12.0,2.0,1.0,1.0,30.0,114.22,0.11,9.0,12.51,1092.25,0.04,60.68,8,0,2,0,9.0,6.0,18.0,12.0,3.0,False
26057,32.0,4.0,3.0,1.0,73.0,350.94,0.07,14.73,21.63,4950.9,0.12,275.05,23,3,4,0,15.0,13.0,47.0,26.0,7.0,False
26058,5.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,2,0,0,1,6.0,5.0,8.0,5.0,1.0,False
26059,32.0,3.0,1.0,3.0,77.0,391.73,0.07,14.4,27.19,5564.41,0.13,309.13,23,6,3,1,14.0,15.0,45.0,32.0,5.0,False
26060,19.0,2.0,1.0,1.0,45.0,195.04,0.12,8.33,23.92,1799.25,0.07,99.96,14,0,3,0,10.0,12.0,25.0,20.0,3.0,False
26061,12.0,2.0,1.0,1.0,28.0,109.39,0.13,7.5,14.59,820.45,0.04,45.58,7,0,3,0,8.0,8.0,16.0,12.0,3.0,False
26062,25.0,3.0,1.0,3.0,82.0,402.37,0.09,10.67,35.38,4045.39,0.13,224.74,12,7,2,1,14.0,20.0,50.0,32.0,5.0,True
26063,76.0,13.0,1.0,13.0,265.0,1453.03,0.03,31.43,43.37,38612.14,0.48,2145.12,69,0,14,0,23.0,31.0,163.0,88.0,16.0,True
26064,83.0,12.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,True
26065,18.0,3.0,1.0,1.0,54.0,253.82,0.09,11.5,22.15,3045.88,0.08,169.22,14,0,2,0,13.0,13.0,31.0,23.0,5.0,False
26066,81.0,9.0,4.0,9.0,212.0,1236.57,0.04,23.1,54.58,29059.46,0.41,1614.41,51,9,12,0,21.0,41.0,118.0,95.0,17.0,True
26067,28.0,5.0,3.0,4.0,91.0,487.54,0.09,11.28,42.69,5265.77,0.16,292.54,21,1,4,0,13.0,25.0,50.0,39.0,9.0,False
26068,42.0,5.0,4.0,5.0,100.0,528.54,0.06,15.84,32.98,7905.12,0.18,439.17,39,0,5,0,13.0,19.0,57.0,43.0,9.0,False
26069,12.0,1.0,1.0,1.0,25.0,98.1,0.29,3.5,27.41,343.35,0.03,19.07,7,0,1,0,6.0,8.0,15.0,10.0,1.0,False
26070,15.0,4.0,4.0,2.0,49.0,224.66,0.09,11.38,18.37,2124.09,0.07,118.0,11,0,2,0,13.0,9.0,33.0,16.0,7.0,False
26071,21.0,4.0,4.0,2.0,43.0,208.46,0.06,16.88,13.07,2898.05,0.07,160.79,18,0,1,0,17.0,8.0,27.0,16.0,7.0,False
26072,6.0,2.0,1.0,2.0,20.0,70.31,0.26,3.86,18.45,281.3,0.02,15.63,3,0,1,0,6.0,7.0,11.0,9.0,3.0,False
26073,16.0,13.0,5.0,1.0,54.0,244.27,0.13,7.79,32.47,1903.29,0.08,105.74,13,0,1,0,11.0,12.0,37.0,17.0,14.0,False
26074,14.0,2.0,1.0,2.0,32.0,135.93,0.2,5.0,26.7,708.15,0.05,39.34,10,0,2,0,10.0,10.0,21.0,11.0,3.0,False
26075,57.0,11.0,1.0,4.0,239.0,1434.0,0.03,36.83,34.71,43754.33,0.48,2430.39,44,2,9,0,24.0,32.0,137.0,92.0,21.0,False
26076,12.0,3.0,1.0,3.0,33.0,134.89,0.15,6.5,23.98,933.47,0.04,51.86,8,0,2,0,11.0,11.0,18.0,13.0,5.0,False
26077,29.0,2.0,1.0,2.0,95.0,502.11,0.07,14.0,30.76,6186.03,0.17,343.67,20,0,5,0,13.0,20.0,48.0,38.0,3.0,False
26078,6.0,1.0,1.0,1.0,19.0,74.23,0.4,2.5,26.64,148.02,0.02,8.22,3,0,1,0,5.0,9.0,10.0,9.0,1.0,False
26079,23.0,4.0,1.0,4.0,82.0,417.17,0.07,14.03,29.03,7054.02,0.14,391.89,16,0,5,0,13.0,17.0,46.0,36.0,7.0,False
26080,64.0,2.0,1.0,2.0,171.0,739.05,0.04,38.18,18.59,27100.17,0.25,1505.57,18,17,8,0,16.0,11.0,115.0,56.0,3.0,False
26081,18.0,1.0,1.0,1.0,89.0,4217.35,0.14,7.2,466.75,3135.19,1.41,174.18,14,0,2,0,8.0,129.0,45.0,44.0,1.0,False
26082,30.0,6.0,1.0,6.0,135.0,713.53,0.05,21.09,35.42,14145.41,0.24,785.86,28,0,0,0,17.0,25.0,80.0,55.0,11.0,False
26083,42.0,7.0,6.0,4.0,131.0,682.43,0.06,16.0,40.85,12595.49,0.23,699.75,36,0,3,0,16.0,23.0,81.0,50.0,13.0,False
26084,7.0,2.0,1.0,1.0,16.0,62.51,0.21,4.8,13.44,301.96,0.02,16.78,4,0,1,0,8.0,5.0,10.0,6.0,3.0,False
26085,32.0,5.0,1.0,4.0,81.0,415.47,0.1,9.8,42.28,4066.59,0.14,225.92,27,0,5,0,13.0,25.0,45.0,34.0,9.0,False
26086,47.0,4.0,1.0,2.0,185.0,1043.45,0.03,30.84,33.33,20667.93,0.35,1148.22,29,5,12,1,19.0,22.0,114.0,77.0,7.0,False
26087,24.0,13.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
26088,19.0,2.0,1.0,1.0,37.0,159.91,0.1,9.75,16.4,1559.14,0.05,86.62,13,1,3,0,12.0,8.0,24.0,13.0,3.0,False
26089,23.0,3.0,1.0,2.0,47.0,224.74,0.06,16.71,13.45,3708.21,0.07,206.01,16,0,4,3,13.0,9.0,29.0,18.0,5.0,False
26090,33.0,9.0,1.0,6.0,109.0,559.62,0.05,21.94,26.11,13078.34,0.19,726.57,20,2,4,0,18.0,16.0,70.0,39.0,17.0,True
26091,20.0,2.0,1.0,2.0,105.0,567.06,0.07,14.0,40.02,8564.16,0.19,473.01,16,0,2,0,14.0,22.0,61.0,44.0,3.0,False
26092,29.0,5.0,5.0,1.0,75.0,371.56,0.06,17.06,20.77,6381.16,0.12,354.51,23,0,2,0,16.0,13.0,46.0,29.0,9.0,True
26093,16.0,1.0,1.0,1.0,79.0,383.78,0.08,13.0,29.82,4521.83,0.13,251.21,13,0,1,0,15.0,15.0,48.0,31.0,1.0,False
26094,5.0,1.0,1.0,1.0,10.0,31.7,0.33,3.0,10.57,95.1,0.01,5.28,3,0,0,0,4.0,3.0,7.0,3.0,1.0,True
26095,11.0,2.0,1.0,2.0,19.0,68.11,0.22,4.5,14.01,328.11,0.02,18.23,5,0,3,0,7.0,5.0,12.0,9.0,3.0,False
26096,19.0,4.0,1.0,4.0,50.0,235.02,0.1,10.5,24.78,2657.35,0.08,147.63,17,0,0,0,14.0,10.0,32.0,15.0,5.0,False
26097,6.0,1.0,1.0,1.0,18.0,66.61,0.36,2.81,23.68,166.52,0.02,9.25,4,0,0,0,5.0,8.0,9.0,9.0,1.0,False
26098,38.0,13.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,False
26099,8.0,2.0,1.0,1.0,19.0,68.11,0.14,7.0,10.81,429.12,0.02,23.84,5,0,1,0,7.0,4.0,11.0,8.0,3.0,False
26100,16.0,3.0,1.0,2.0,62.0,304.23,0.06,15.79,20.63,4723.76,0.1,261.76,13,0,1,0,17.0,14.0,39.0,19.0,5.0,False
26101,52.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,False
26102,15.0,4.0,1.0,3.0,51.0,236.84,0.08,12.0,21.15,3005.29,0.08,167.71,11,0,2,0,12.0,12.0,29.0,22.0,7.0,False
